1;THALES;NEUILLY SUR SEINE Hauts de Seine;4-5Vincent MATTEI;Stage à Singapour 6 à 12 mois;http://intranet-if.insa-lyon.fr/stages/descriptif/THALES%20Internship%20Singapore.doc
3;AXWAY;Paris, Annecy Paris;4-5axwayjobs@axway.com;Book de stages sur Paris, Annecy et à l'international;http://intranet-if.insa-lyon.fr/stages/descriptif/AXWAY%20BOOK%20Stages%202011-2012%20VF-1.pdf
4;SCHLUMBERGER;ABINGDON Royaume Uni;3-4Cyril LAGRANGE;The subject of this internship is to build a c# scripting environment for Petrel based on Microsoft Roslyn technology;http://intranet-if.insa-lyon.fr/stages/descriptif/SCHLUMBERGER%20UK.docx
6;CEA GRENOBLE;GRENOBLE Isère;3-4Céline CHARAVAY;Développement d'une application Java basée sur Netbeans Platform dans un contexte recherche;http://intranet-if.insa-lyon.fr/stages/descriptif/CEA_2012_FlexibleMeccano_Court-1.doc
8;STMICROELECTRONICS ROUSSET SAS;ROUSSET Bouches du Rhône;4-5Christine ETCHEBER;Automatisation du paramétrage des nouveaux produits;http://intranet-if.insa-lyon.fr/stages/descriptif/STMICROELECTRONICS.doc
9;META COACHING;PARIS Paris;3-4Anne-Dominique BONTE;CONCEPTION/DÉVELOPPEMENT D'UNE PLATEFORME WEB ET;E ASSOCIÉ POUR L'EXECUTION DE PROGRAMMES 
10;INSA LIRIS;VILLEURBANNE Rhône;4-5Christian WOLF;détection et segmentation d'objets en mouvement (humain) à partir d'images en profondeur;http://intranet-if.insa-lyon.fr/stages/descriptif/INSA-LIRIS%20stage_pfe_kinect_2012_v2.docx
11;KAPT;VALENCE Drôme;4-5François PALMIER;Paiement mobile;http://intranet-if.insa-lyon.fr/stages/descriptif/KAPT%20-%20Paiement%20mobile.pdf
12;KAPT;VALENCE Drôme;4-5François PALMIER;Planning sur mobile;http://intranet-if.insa-lyon.fr/stages/descriptif/KAPT%20-%20PLANNING%20SUR%20MOBILE.pdf
3;WITBE;PARIS Paris;4Philippe LEMONNIER;3 sujets proposés :
- Chef de projet intégration d'une solution CRM
- Chef de projet développement des scripts de QoE pour les opérateurs nord-américains
